,arch,pretrained,family,aro,colorswap,crepe,eqben,imagecode,mmvp_vlm,sugarcrepe,svo_probes,valse,vl_checklist,whatsup,winoground,coco_i2t,coco_t2i,flickr_i2t,flickr_t2i,imagenet,21_tasks_avg,comp_avg,i2t_avg,t2i_avg
62,ViT-B-32,commonpool_s_image_s13m_b4k,OpenCLIP,35.84328204,5.666666667,12.31284479,10.87029375,13.03214596,11.85185185,54.14101727,61.80350017,52.16855698,57.06549468,42.80160256,7,1.5,1.095561775,2,1.44,3.916,17.36891607,30.37977139,1.75,1.267780888
63,ViT-B-32,commonpool_s_text_s13m_b4k,OpenCLIP,36.96543202,4,10.49601421,10.89416074,13.33622937,8.148148148,55.17056675,63.07239391,52.65826395,57.81089835,42.07504602,3.75,2.58,1.707317073,5.7,2.78,4.602,18.1241873,29.86476279,4.14,2.243658537
64,ViT-B-32,commonpool_s_basic_s13m_b4k,OpenCLIP,35.2639927,4.666666667,11.03399124,10.12193863,13.64031277,5.185185185,54.8076465,62.06989405,53.4890452,57.27931413,40.97544179,5,1.92,1.431427429,4,2.56,3.768,16.27489239,29.46111907,2.96,1.995713715
65,ViT-B-32,commonpool_s_s13m_b4k,OpenCLIP,36.1441409,1.666666667,9.605724813,8.76113239,12.59774109,5.185185185,54.09431494,60.25723459,50.11565861,60.49340066,40.93677429,2.25,1.76,0.883646541,3,2.14,2.702,17.01842408,28.50899784,2.38,1.511823271
66,ViT-B-32-256,datacomp_s34b_b86k,OpenCLIP,40.62735293,19.33333333,14.63975265,31.99137216,24.93483927,17.77777778,77.02502515,86.9795456,67.68689853,64.46848177,40.83419805,7.75,57.94,39.92802879,84.5,64.98,72.788,65.76365365,41.17071477,71.22,52.45401439
67,ViT-B-32-quickgelu,laion400m_e32,OpenCLIP,47.41012673,20.33333333,16.69934693,29.90148422,24.15291051,15.55555556,76.29289374,87.62701344,65.57877681,66.22974907,42.54844178,6.5,52.6,35.30987605,78.7,61.72,62.94,57.62340708,41.56913601,65.65,48.51493802
68,ViT-B-16,laion400m_e32,OpenCLIP,47.75491965,15.33333333,18.88984064,30.4211067,22.71937446,15.55555556,76.44294416,88.83711623,66.99969156,68.02356578,42.27295085,7.75,55.4,38.32866853,83.5,65.64,67.05,60.25490476,41.75003324,69.45,51.98433427
69,ViT-B-16,commonpool_l_clip_s1b_b8k,OpenCLIP,40.12003541,8.333333333,14.57376457,28.57283754,21.58992181,12.59259259,72.73710003,83.28139921,62.80556582,63.78770561,41.52513482,7,44.34,28.79248301,68.1,51,57.786,57.07238631,38.0766159,56.22,39.8962415
70,ViT-B-16,commonpool_l_laion_s1b_b8k,OpenCLIP,38.47908053,11.66666667,13.89945834,29.13384264,22.98001738,11.85185185,75.05844847,84.87804802,65.45482284,65.17366471,41.56189327,6.75,46.54,31.96321471,72.3,56.58,55.242,53.2774341,38.90731623,59.42,44.27160736
71,ViT-B-16,commonpool_l_image_s1b_b8k,OpenCLIP,37.33966824,7,12.90253895,28.26640838,21.11207646,10.37037037,71.9262931,83.43522976,63.29140782,63.28715566,39.64393353,6.75,43.3,29.08436625,68.7,51.58,57.182,51.37599704,37.11042352,56,40.33218313
